thin,id,thin2,journal,thin3,thin4,date,thin5,thin6
"NA","40419197","NA","consbiol","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","20208757","NA","philtranbiolscie","NA","NA","2008-06-01T00:00:00Z ","","fla"
"NA","4084228","NA","auk","NA","NA","1972-06-01T00:00:00Z ","","fla"
"NA","3892957","NA","herpetologica","NA","NA","1996-06-01T00:00:00Z ","","fla"
"NA","24871072","NA","mariecolprogseri","NA","NA","2007-06-01T00:00:00Z ","","fla"
"NA","4090223","NA","auk","NA","NA","2002-06-01T00:00:00Z ","","fla"
"NA","1566139","NA","jherpetology","NA","NA","2003-06-01T00:00:00Z ","","fla"
"NA","4094400","NA","jmammalogy","NA","NA","2006-06-01T00:00:00Z ","","fla"
"NA","2402489","NA","jappliedecology","NA","NA","1981-06-01T00:00:00Z ","","fla"
"NA","24126867","NA","eurojhortscie","NA","NA","2013-06-01T00:00:00Z ","","fla"
"NA","30245338","NA","procbiolscie","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","1369757","NA","condor","NA","NA","1998-06-01T00:00:00Z ","","fla"
"NA","4256251","NA","econbota","NA","NA","2000-06-01T00:00:00Z ","","fla"
"NA","25450094","NA","procnatiacadscie","NA","NA","2007-06-01T00:00:00Z ","","fla"
"NA","24708859","NA","ambio","NA","NA","2013-06-01T00:00:00Z ","","fla"
"NA","2461281","NA","amernatu","NA","NA","1986-06-01T00:00:00Z ","","fla"
"NA","25623093","NA","jappliedecology","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","40062252","NA","ecolappl","NA","NA","2008-06-01T00:00:00Z ","","fla"
"NA","43494963","NA","ecology","NA","NA","2014-06-01T00:00:00Z ","","fla"
"NA","4152487","NA","procnatiacadscie","NA","NA","2005-06-01T00:00:00Z ","","fla"
"NA","23804995","NA","procnatiacadscie","NA","NA","2014-06-01T00:00:00Z ","","fla"
"NA","1368394","NA","condor","NA","NA","1990-06-01T00:00:00Z ","","fla"
"NA","41289807","NA","bryologist","NA","NA","2011-06-01T00:00:00Z ","","fla"
"NA","3094648","NA","evolution","NA","NA","2002-06-01T00:00:00Z ","","fla"
"NA","4132917","NA","biotropica","NA","NA","2002-06-01T00:00:00Z ","","fla"
